ID,Namespace,Type,Member
ce3b06cc01084ac7339db9c3e64cb643,Microsoft.Extensions.DependencyInjection,MvcCoreMvcBuilderExtensions,"ConfigureApiBehaviorOptions(IMvcBuilder, Action<ApiBehaviorOptions>)"
c093efb24f582ec4381c6f2bb01d98df,Microsoft.Extensions.DependencyInjection,MvcCoreMvcCoreBuilderExtensions,"ConfigureApiBehaviorOptions(IMvcCoreBuilder, Action<ApiBehaviorOptions>)"
a3527b1e444172a2bf6b1ce8b83e2393,Microsoft.Extensions.DependencyInjection,MvcXmlMvcBuilderExtensions,"AddXmlDataContractSerializerFormatters(IMvcBuilder, Action<MvcXmlOptions>)"
2393d7dc3c3fa9e3b5253c30b471e73e,Microsoft.Extensions.DependencyInjection,MvcXmlMvcBuilderExtensions,"AddXmlOptions(IMvcBuilder, Action<MvcXmlOptions>)"
fbc2fe2e9b987d5e44720dfe48a48a12,Microsoft.Extensions.DependencyInjection,MvcXmlMvcBuilderExtensions,"AddXmlSerializerFormatters(IMvcBuilder, Action<MvcXmlOptions>)"
912983e1d887edc19f30d3989ac14a2f,Microsoft.Extensions.DependencyInjection,MvcXmlMvcCoreBuilderExtensions,"AddXmlDataContractSerializerFormatters(IMvcCoreBuilder, Action<MvcXmlOptions>)"
453a90802c3a17448ad38c7fcd0bc8f4,Microsoft.Extensions.DependencyInjection,MvcXmlMvcCoreBuilderExtensions,"AddXmlOptions(IMvcCoreBuilder, Action<MvcXmlOptions>)"
7b580fc952af6d94eef3d222a19145a8,Microsoft.Extensions.DependencyInjection,MvcXmlMvcCoreBuilderExtensions,"AddXmlSerializerFormatters(IMvcCoreBuilder, Action<MvcXmlOptions>)"
41cfac3de8737a863aa9b3d3b3168ece,Microsoft.Extensions.DependencyInjection,MvcJsonOptionsExtensions,
92ce09191537e5edd1bfd0e0dba58dd1,Microsoft.Extensions.DependencyInjection,MvcJsonOptionsExtensions,"UseCamelCasing(MvcJsonOptions, Boolean)"
15867b28ecb70bc8fa52345ceceac766,Microsoft.Extensions.DependencyInjection,MvcJsonOptionsExtensions,UseMemberCasing(MvcJsonOptions)
309a15d989be37973b358dc3f090896a,Microsoft.Extensions.DependencyInjection,HttpClientFactoryServiceCollectionExtensions,"AddHttpClient<TClient>(IServiceCollection, Action<IServiceProvider, HttpClient>)"
a7558839b6eaefe27488679c554c350d,Microsoft.Extensions.DependencyInjection,HttpClientFactoryServiceCollectionExtensions,"AddHttpClient<TClient, TImplementation>(IServiceCollection, Action<IServiceProvider, HttpClient>)"
d0ebf2af12ae2c47dc1c80d6b004f967,Microsoft.Extensions.DependencyInjection,HttpClientFactoryServiceCollectionExtensions,"AddHttpClient<TClient>(IServiceCollection, String, Action<IServiceProvider, HttpClient>)"
cad6b579e8d1fe5fde1ba1b7945bc221,Microsoft.Extensions.DependencyInjection,HttpClientFactoryServiceCollectionExtensions,"AddHttpClient<TClient, TImplementation>(IServiceCollection, String, Action<IServiceProvider, HttpClient>)"
93eea9f5e5da91d107c31e5aa8e1716d,Microsoft.AspNetCore.Builder,WebSocketOptions,AllowedOrigins
f09d7b1bbc88719a53a021c574b4721e,Microsoft.AspNetCore.Builder,WebSocketOptions,AllowedOrigins.get
597be8129505fc9f93aadf98e24fd0a3,Microsoft.AspNetCore.Builder,IISServerOptions,
aaa724620cbfb5150b19c13bc9ea8443,Microsoft.AspNetCore.Builder,IISServerOptions,IISServerOptions()
5235a3dafff83f05f481371497b1785e,Microsoft.AspNetCore.Builder,IISServerOptions,AutomaticAuthentication
bc2ba25a62c31dc2dfc0f92c7351cc43,Microsoft.AspNetCore.Builder,IISServerOptions,AutomaticAuthentication.get
c63f6b6a28e017a7ac0447a1784d18b0,Microsoft.AspNetCore.Builder,IISServerOptions,AutomaticAuthentication.set
eb99e368c910f7e5b8096cb08eadfaa0,Microsoft.AspNetCore.Builder,IISServerOptions,AuthenticationDisplayName
e158a13737c6b3e6a63648669f8772fb,Microsoft.AspNetCore.Builder,IISServerOptions,AuthenticationDisplayName.get
40adfd2eba584eb3973c9d2d34d209aa,Microsoft.AspNetCore.Builder,IISServerOptions,AuthenticationDisplayName.set
